day,all,1,2,3,4,5,6
2014-09-01,9930,2875,5185,0,2605,367,566
2014-09-02,10060,2983,5258,0,2596,394,555
2014-09-03,9814,2872,4976,0,2565,441,589
2014-09-04,10124,3011,5436,0,2627,392,535
2014-09-05,9901,2928,4979,0,2610,273,456
2014-09-06,8725,2540,4045,0,2099,0,214
2014-09-07,8591,2455,4125,0,2064,0,160
2014-09-08,8520,2411,3828,0,1904,0,127
2014-09-09,10301,3020,5429,0,2729,0,534
2014-09-10,10995,3151,5709,699,2852,839,645
2014-09-11,10183,2195,4797,1617,2879,405,573
2014-09-12,10973,2463,5016,1938,2985,448,542
2014-09-13,15943,3310,5571,3851,4351,287,367
2014-09-14,19748,4876,7775,4772,5602,554,432
2014-09-15,21531,6813,11336,5418,4529,1065,865
2014-09-16,21840,7065,10801,5549,4810,1485,821
2014-09-17,21636,7123,10390,5476,4651,1676,815
2014-09-18,21021,6835,9694,5050,4189,1417,875
2014-09-19,20175,6204,8671,4711,3921,1446,922
2014-09-20,16287,3904,5776,3909,3767,650,345
2014-09-21,17087,3642,6250,4146,3654,745,302
2014-09-22,21020,7042,10014,4740,3902,1535,990
2014-09-23,21519,7075,9903,4813,4262,1523,918
2014-09-24,21283,6683,10343,5184,4226,1618,777
2014-09-25,21383,7043,10319,5077,4366,1453,634
2014-09-26,20487,6288,9751,4845,4277,1387,686
2014-09-27,17250,4045,6517,4084,3834,709,382
2014-09-28,20904,6757,10106,4827,4043,1083,612
2014-09-29,20643,6798,9629,4861,4118,1348,613
2014-09-30,19252,6193,8693,4209,3935,918,514
2014-10-01,11126,2335,3766,2131,2598,266,0
2014-10-02,9264,1910,3193,1776,2339,244,0
2014-10-03,8793,1820,3117,1770,2217,251,0
2014-10-04,9401,1827,3386,2083,2379,255,0
2014-10-05,9842,2033,3707,2296,2453,286,0
2014-10-06,11453,2356,4282,2713,2663,363,0
2014-10-07,15121,2920,5684,3729,3319,529,0
2014-10-08,20631,6527,10346,5097,3995,1602,634
2014-10-09,21262,6992,10555,5148,4288,1501,640
2014-10-10,20898,6595,9683,5171,4443,1388,642
2014-10-11,20509,6774,9280,4798,4357,1324,561
2014-10-12,17906,3934,6569,4300,3952,724,299
2014-10-13,21273,7207,10262,5168,4493,1528,744
2014-10-14,21632,7422,10381,5150,4592,1447,661
2014-10-15,21486,6898,10246,5273,4444,1764,678
2014-10-16,21229,7005,10301,5112,4171,1472,654
2014-10-17,20212,6289,9250,4687,4368,1285,599
2014-10-18,16023,3756,5746,3950,3625,642,305
2014-10-19,16874,3884,6133,4004,3707,682,316
2014-10-20,21434,7164,10055,4974,4340,1482,738
2014-10-21,21401,7244,9885,4924,4350,1501,744
2014-10-22,21270,6572,10116,5253,4260,1667,713
2014-10-23,21136,6778,9736,5044,4321,1426,626
2014-10-24,20121,6116,8808,4731,4134,1388,594
2014-10-25,15862,3580,5621,3634,3509,737,335
2014-10-26,16738,3347,5601,3940,3688,724,267
2014-10-27,21061,6980,10059,5081,4047,1612,702
2014-10-28,21328,7308,9806,5034,4362,1482,691
2014-10-29,20669,6630,9511,4782,3769,1637,828
2014-10-30,20680,6742,9229,4918,3921,1479,733
2014-10-31,19386,5934,7894,4261,3653,1369,647
2014-11-01,14923,3254,5147,3613,3332,639,299
2014-11-02,15760,3083,5178,3665,3521,611,236
2014-11-03,20950,7098,9885,5040,4169,1656,700
2014-11-04,21284,7304,9892,5124,4424,1583,693
2014-11-05,21239,6759,9748,5245,4254,1675,698
2014-11-06,20949,6756,9525,5196,3972,1633,665
2014-11-07,19842,6214,8543,4731,4053,1350,571
2014-11-08,14651,2977,5162,3456,3150,608,364
2014-11-09,15789,3035,5288,3812,3292,646,271
2014-11-10,20816,6839,9465,5117,3954,1656,706
2014-11-11,20862,6888,9201,5029,4183,1387,622
2014-11-12,20859,6578,9275,5164,3938,1592,792
2014-11-13,20494,6676,8995,5062,3881,1480,597
2014-11-14,19471,6049,8067,4615,3640,1197,610
2014-11-15,14677,3198,5092,3595,3111,598,236
2014-11-16,15424,3013,5016,3680,3051,570,223
2014-11-17,20562,6749,9205,4942,3847,1479,676
2014-11-18,20808,6823,9176,5166,4099,1460,585
2014-11-19,20418,6080,9145,5079,3744,1522,645
2014-11-20,19710,6083,8323,4686,3478,1361,574
2014-11-21,17727,5201,6103,3907,4113,1024,455
2014-11-22,13817,2868,4280,3228,2806,510,199
2014-11-23,14948,2768,4514,3497,2935,507,189
2014-11-24,19559,6171,8108,4476,3400,1486,828
2014-11-25,20046,6502,8308,4349,3562,1381,781
2014-11-26,20316,6189,9018,5013,3706,1435,611
2014-11-27,20470,6292,9286,5064,3747,1364,570
2014-11-28,19251,5830,8039,4685,3650,1305,675
2014-11-29,14754,3028,4963,3595,3074,663,342
2014-11-30,15137,2998,4845,3583,2969,687,262
2014-12-01,20361,6635,9007,4907,3931,1711,736
2014-12-02,20667,7022,9368,4911,3931,1646,748
2014-12-03,20281,6170,9517,4798,3670,1731,747
2014-12-04,20175,6331,8773,4840,3686,1644,782
2014-12-05,19100,5746,7760,4523,3568,1440,642
2014-12-06,14093,2860,4689,3328,3135,525,302
2014-12-07,14976,2784,4738,3448,2900,658,284
2014-12-08,19998,6262,8954,4846,3468,1607,763
2014-12-09,20242,6722,8615,4567,3770,1596,710
2014-12-10,19877,6129,8342,4645,3439,1640,811
2014-12-11,19821,6148,8459,4539,3507,1511,763
2014-12-12,18904,5507,7317,4065,3521,1163,604
2014-12-13,14232,2867,4821,3413,2895,601,303
2014-12-14,15253,2912,5150,3782,2808,766,319
2014-12-15,20300,6560,8827,5001,3718,1677,772
2014-12-16,20411,6821,8591,4890,3864,1639,852
2014-12-17,20426,6206,9238,5063,3614,1725,825
2014-12-18,20278,6366,8820,4891,3649,1538,797
2014-12-19,19191,5733,7679,4577,3593,1341,691
2014-12-20,15833,3516,5982,3767,3160,659,317
2014-12-21,15580,3011,5595,3796,2988,765,383
2014-12-22,19676,6586,8686,4459,3400,1496,749
2014-12-23,20269,6897,8544,4770,3940,1446,850
2014-12-24,19636,6293,8582,4514,3445,1539,756
2014-12-25,19574,6312,8392,4524,3374,1403,686
2014-12-26,18844,5571,7719,4392,3580,1346,678
2014-12-27,15397,3464,5275,3861,3390,750,329
2014-12-28,15740,3433,5395,3917,3233,761,294
2014-12-29,19685,6252,8567,4615,3568,1559,715
2014-12-30,19906,6471,8365,4607,3732,1392,680
2014-12-31,18243,5180,7606,4044,3169,1044,527
2015-01-01,12241,2463,4135,2631,2429,331,0
2015-01-02,13161,2711,5101,3157,2542,478,0
2015-01-03,14879,3112,5493,3524,2888,574,0
2015-01-04,18680,5747,7803,4038,3503,1276,665
2015-01-05,19024,4616,7805,4959,3477,1352,694
2015-01-06,18696,4578,7605,4454,3250,1366,771
2015-01-07,18729,4224,7851,4660,3409,1249,727
2015-01-08,18686,4287,7799,4476,3374,1311,715
2015-01-09,17513,3702,7145,4111,3354,1158,631
2015-01-10,14641,3011,5000,3432,3069,569,304
2015-01-11,14969,3097,5346,3466,2963,569,279
2015-01-12,17432,3710,7231,4488,3310,1596,844
2015-01-13,16546,4410,5342,3641,3231,1423,1018
2015-01-14,15595,2875,4993,3153,3155,1377,957
2015-01-15,15322,3081,5362,3547,3307,1455,839
2015-01-16,13883,2631,4555,2974,3243,1258,736
2015-01-17,10890,1904,3108,2146,2945,613,293
2015-01-18,9890,1559,2843,1842,2710,574,312
2015-01-19,11172,1960,3882,2326,3094,1555,791
2015-01-20,10510,1704,3503,2106,3151,1362,842
2015-01-21,10025,1641,3420,1880,3114,1374,540
2015-01-22,9462,1538,2901,1877,3073,1264,940
2015-01-23,8643,2239,0,2177,3100,1479,688
2015-01-24,6945,1561,0,1755,2674,741,0
2015-01-25,6663,1551,0,1623,2491,757,0
2015-01-26,7816,2117,0,2310,2770,1564,0
2015-01-27,7602,2048,0,2240,2812,1553,0
2015-01-28,7539,1919,0,2322,2770,1487,0
2015-01-29,6975,1139,1061,1732,2555,1229,0
2015-01-30,7112,861,1601,1706,2550,1051,0
2015-01-31,5767,546,1131,1259,2244,477,0
