day,all,1,2,3,4,5,6,sum1-6
2014/9/1,7203,1687,3664,0,1147,132,281,6911
2014/9/2,7022,1718,3338,0,1093,174,297,6620
2014/9/3,6694,1696,3121,0,1148,172,264,6401
2014/9/4,6963,1718,3457,0,1055,159,235,6624
2014/9/5,6356,1704,3169,0,1016,0,187,6076
2014/9/6,5237,1182,2685,0,885,0,97,4849
2014/9/7,5400,1407,2712,0,815,0,79,5013
2014/9/8,4623,1287,2119,0,727,0,63,4196
2014/9/9,6363,1265,3135,0,1355,0,255,6010
2014/9/10,5749,732,2569,345,1190,382,295,5513
2014/9/11,6365,839,2719,709,1231,189,302,5989
2014/9/12,6624,897,2748,833,1270,177,229,6154
2014/9/13,10164,1659,3446,2330,1697,124,213,9469
2014/9/14,12242,2099,4125,2323,2404,204,186,11341
2014/9/15,15270,2906,6070,2700,1934,422,417,14449
2014/9/16,15318,3104,5712,2798,1787,626,364,14391
2014/9/17,14533,2684,5106,2642,1901,760,398,13491
2014/9/18,14426,2875,5180,2598,1832,719,396,13600
2014/9/19,11051,2075,3544,2086,1538,735,409,10387
2014/9/20,8420,1376,2488,1628,1561,348,167,7568
2014/9/21,10598,1718,3431,2186,1784,433,140,9692
2014/9/22,14226,2811,5160,2303,1675,828,508,13285
2014/9/23,14663,2871,5043,2503,1764,889,454,13524
2014/9/24,13945,2386,4741,2596,1799,796,378,12696
2014/9/25,13893,2685,4843,2533,1713,688,310,12772
2014/9/26,11438,1888,3931,2103,1645,606,271,10444
2014/9/27,9671,1633,3151,2006,1608,327,161,8886
2014/9/28,13548,2753,4733,2384,1757,501,268,12396
2014/9/29,13334,2708,4472,2395,1655,619,262,12111
2014/9/30,9410,1984,3288,1563,1274,360,147,8616
2014/10/1,4715,758,1434,797,1023,138,0,4150
2014/10/2,4716,779,1541,800,1019,134,0,4273
2014/10/3,4819,776,1605,881,1035,128,0,4425
2014/10/4,5304,789,1799,1008,1102,161,0,4859
2014/10/5,5911,901,2070,1193,1172,138,0,5474
2014/10/6,6050,1040,2410,0,1216,186,0,4852
2014/10/7,10180,1485,3517,2239,1737,321,0,9299
2014/10/8,14978,2728,5021,2762,1925,764,346,13546
2014/10/9,14596,2838,5273,2595,1742,761,309,13518
2014/10/10,13217,2362,4433,2478,1812,623,295,12003
2014/10/11,12319,2494,3914,2223,1721,636,227,11215
2014/10/12,10310,1650,3051,2222,1775,379,190,9267
2014/10/13,14683,3107,5118,2547,1807,776,341,13696
2014/10/14,14318,3261,4722,2451,1759,696,316,13205
2014/10/15,14091,2778,4548,2621,1793,764,325,12829
2014/10/16,13651,2778,4613,2446,1685,746,285,12553
2014/10/17,11257,2081,3391,2030,1944,559,241,10246
2014/10/18,8631,1440,2505,1810,1574,355,138,7822
2014/10/19,10270,1518,3248,2223,1738,394,170,9291
2014/10/20,15015,3111,5136,2446,1846,839,364,13742
2014/10/21,13913,3030,4669,2246,1664,839,424,12872
2014/10/22,13927,2546,4890,2265,1841,795,361,12698
2014/10/23,13852,2718,4716,2367,1725,720,400,12646
2014/10/24,11066,1781,3654,1999,1589,630,246,9899
2014/10/25,8469,1414,2522,1716,1487,305,148,7592
2014/10/26,10163,1494,3018,2064,1831,395,149,8951
2014/10/27,14583,2849,5220,2539,1663,915,320,13506
2014/10/28,14291,3026,4772,2331,1687,809,342,12967
2014/10/29,13451,2443,4533,2412,1727,896,377,12388
2014/10/30,13847,3312,4352,2381,1621,861,379,12906
2014/10/31,10356,1761,3118,1773,1461,736,325,9174
2014/11/1,8370,1312,2505,1774,1485,355,157,7588
2014/11/2,10221,1554,3129,2232,1771,390,160,9236
2014/11/3,14774,2933,5246,2482,1825,867,376,13729
