day,all,1,2,3,4,5,6
2014-09-01,7123,1536,3464,0,1321,272,421
2014-09-02,7285,1609,3558,0,1320,277,402
2014-09-03,5827,1239,2464,0,1272,323,426
2014-09-04,7458,1660,3702,0,1294,288,392
2014-09-05,6983,1583,3240,0,1352,273,353
2014-09-06,4508,669,2262,0,1182,0,156
2014-09-07,5782,1398,2842,0,1275,0,110
2014-09-08,5237,1260,2609,0,1101,0,81
2014-09-09,6573,1431,3156,0,1410,0,401
2014-09-10,6467,859,3134,388,1465,0,496
2014-09-11,6594,850,2635,844,1460,273,411
2014-09-12,7208,992,2776,1029,1533,328,404
2014-09-13,9390,1557,2668,1940,2613,196,219
2014-09-14,13330,2349,4071,2556,3346,395,308
2014-09-15,16303,3000,5815,3033,2672,753,596
2014-09-16,16855,3238,5618,2991,2921,1012,602
2014-09-17,16283,3026,5554,2838,2716,1107,575
2014-09-18,15751,3309,5257,2837,2435,928,666
2014-09-19,15076,3167,4915,2594,2388,976,677
2014-09-20,10531,1959,3341,2108,2179,401,228
2014-09-21,10432,1691,3440,2253,2135,423,195
2014-09-22,15629,3465,5276,2454,2261,1040,708
2014-09-23,15733,3438,5313,2456,2502,919,653
2014-09-24,15621,2913,5631,2624,2364,1048,554
2014-09-25,15972,3178,5742,2581,2572,922,419
2014-09-26,15147,2798,5464,2430,2468,952,516
2014-09-27,10667,1843,3515,2074,2128,433,275
2014-09-28,15160,2966,5673,2411,2331,738,445
2014-09-29,15028,3079,4949,2564,2384,900,451
2014-09-30,14082,2848,4813,2383,2421,663,415
2014-10-01,5897,910,1977,1056,1526,162,0
2014-10-02,5183,755,1787,956,1350,121,0
2014-10-03,5097,772,1737,938,1302,147,0
2014-10-04,5514,772,1862,1181,1346,129,0
2014-10-05,6090,866,2150,1300,1416,182,0
2014-10-06,7088,1099,2475,1568,1549,225,0
2014-10-07,8924,1290,2949,2047,1885,270,0
2014-10-08,15397,2814,5750,2610,2300,1040,402
2014-10-09,15950,3123,5811,2729,2380,954,430
2014-10-10,15561,3057,5249,2792,2550,964,448
2014-10-11,15281,3242,4946,2622,2657,861,410
2014-10-12,10970,1879,3432,2345,2401,401,148
2014-10-13,16317,3412,5478,2744,2712,977,530
2014-10-14,16366,3389,5579,2777,2716,958,454
2014-10-15,15840,2866,5468,2613,2590,1220,466
2014-10-16,15835,3191,5690,2734,2308,929,462
2014-10-17,14991,2935,5270,2545,2362,877,448
2014-10-18,9919,1647,3015,2198,2126,356,194
2014-10-19,10409,1897,3231,2248,2161,343,184
2014-10-20,15740,3333,5283,2610,2496,895,511
2014-10-21,15918,3431,5309,2630,2600,910,467
2014-10-22,15356,2765,5288,2896,2356,1061,476
2014-10-23,15171,3108,5131,2683,2459,912,311
2014-10-24,14487,2940,4705,2577,2300,930,442
2014-10-25,9584,1591,2899,1933,2036,479,232
2014-10-26,9690,1556,2945,2211,2065,377,153
2014-10-27,15617,3202,5404,2654,2407,933,516
2014-10-28,15189,3379,5179,2625,2553,908,0
2014-10-29,13752,2785,4504,2371,2002,997,603
2014-10-30,14566,3005,4784,2697,2196,831,490
2014-10-31,13663,2963,4416,2374,2161,801,412
2014-11-01,9082,1562,2714,2015,1976,335,187
2014-11-02,9170,1460,2543,1895,2130,269,109
2014-11-03,15865,3409,5383,2679,2428,1040,466
2014-11-04,16088,3396,5393,2746,2603,993,444
2014-11-05,15381,2856,5372,2744,2411,1085,444
2014-11-06,15223,3100,5096,2760,2330,1005,443
2014-11-07,14240,3012,4486,2578,2355,911,400
2014-11-08,8583,1375,2605,1860,1821,306,233
2014-11-09,8905,1377,2688,2089,1929,316,162
2014-11-10,15188,3290,4806,2782,2369,976,476
2014-11-11,15114,3199,4905,2644,2493,895,429
2014-11-12,14756,2832,4760,2917,2109,1063,559
2014-11-13,14401,3033,4651,2784,2128,956,391
2014-11-14,13447,2891,4288,2481,1997,838,457
2014-11-15,8613,1494,2658,1894,1770,328,150
2014-11-16,8259,1412,2386,1967,1761,286,114
2014-11-17,14581,3119,4626,2722,2262,888,453
2014-11-18,14820,3114,4648,2761,2470,900,389
2014-11-19,14005,2545,4628,2741,2138,1015,448
2014-11-20,13037,2805,4140,2445,1903,866,373
2014-11-21,9800,2089,2273,1763,1781,750,312
2014-11-22,7473,1206,2042,1721,1623,283,128
2014-11-23,7696,1192,2276,1828,1649,263,110
2014-11-24,12160,2771,3548,2082,1808,882,566
2014-11-25,13203,3018,4280,2089,2049,865,489
2014-11-26,13559,2459,4610,2590,2002,924,379
2014-11-27,14120,2838,4532,2817,2142,870,369
2014-11-28,13397,2744,4164,2519,2144,843,486
2014-11-29,8610,1395,2522,1932,1853,293,212
2014-11-30,8708,1404,2729,2030,1788,283,118
2014-12-01,14834,3145,4809,2589,2306,1056,461
2014-12-02,14952,3373,4920,2461,2352,964,443
2014-12-03,14167,2576,5003,2545,2064,1050,448
2014-12-04,14202,2848,4836,2549,2017,1027,513
2014-12-05,12721,2754,4062,2460,1965,962,0
2014-12-06,8001,1290,2221,1815,1775,276,194
2014-12-07,8053,1290,2400,1853,1723,295,127
2014-12-08,13904,2707,4819,2517,1991,1003,485
2014-12-09,14207,3193,4570,2423,2205,968,437
2014-12-10,13408,2519,4547,2342,1882,958,472
2014-12-11,13287,2896,4334,2275,1898,897,507
2014-12-12,12237,2515,3944,2097,1983,775,440
2014-12-13,8151,1309,2389,1851,1710,289,163
2014-12-14,8378,1270,2509,2074,1591,371,157
2014-12-15,14505,3105,4549,2648,2216,982,513
2014-12-16,14783,3385,4471,2555,2308,1013,561
2014-12-17,14657,2779,5010,2677,2025,1093,507
2014-12-18,14360,3134,4688,2530,2028,911,515
2014-12-19,13388,2833,3926,2553,2115,923,488
2014-12-20,9809,1633,3158,2134,1881,353,181
2014-12-21,9011,1426,2909,2037,1711,377,190
2014-12-22,14233,3212,4491,2423,2057,1015,547
2014-12-23,14694,3499,4279,2530,2365,937,536
2014-12-24,13915,2989,4611,2316,1946,1016,521
2014-12-25,13715,3067,4368,2411,1986,870,447
2014-12-26,13328,2845,4069,2404,2111,871,504
2014-12-27,9787,1774,2780,2178,2102,395,212
2014-12-28,9508,1632,2863,2160,1913,428,165
2014-12-29,13908,2905,4553,2435,2087,992,496
2014-12-30,13956,3080,4232,2318,2304,925,446
2014-12-31,13088,2610,4501,2449,1799,836,441
2015-01-01,6830,1159,2161,1461,1471,153,0
2015-01-02,7982,1327,2781,1836,1459,216,0
2015-01-03,8653,1419,3086,1970,1562,275,0
2015-01-04,12904,2772,4007,2386,1993,806,436
2015-01-05,13285,1863,4569,3217,1873,922,457
2015-01-06,12653,2160,4382,2603,1763,813,479
2015-01-07,12326,1721,4299,2685,1893,789,491
2015-01-08,12034,1946,4060,2316,1877,857,475
2015-01-09,11278,1618,3853,2235,1884,779,446
2015-01-10,8845,1443,2575,2005,1858,302,184
2015-01-11,8959,1525,2911,1916,1761,281,139
2015-01-12,11501,1531,3948,2264,1778,1013,556
2015-01-13,10799,2003,2819,2028,1950,946,626
2015-01-14,9307,1324,2617,1604,1845,858,657
2015-01-15,9502,1270,2545,1868,1874,928,584
2015-01-16,8569,1143,2254,1579,1826,843,520
2015-01-17,6154,818,1519,1122,1835,317,173
2015-01-18,5481,630,1484,1013,1638,274,145
2015-01-19,7329,754,1948,1096,1702,983,551
2015-01-20,6825,627,1698,960,1793,875,586
2015-01-21,6588,548,1694,850,1752,906,540
2015-01-22,6386,510,1596,880,1800,797,779
2015-01-23,5573,824,0,1092,1836,1056,531
2015-01-24,3969,644,0,992,1670,402,0
2015-01-25,3618,526,0,971,1516,357,0
2015-01-26,4783,887,0,1163,1451,1095,0
2015-01-27,4634,816,0,1193,1442,1029,0
2015-01-28,4624,747,0,1271,1452,998,0
2015-01-29,4307,473,588,943,1429,745,0
2015-01-30,4382,317,871,942,1432,698,0
2015-01-31,3306,200,584,680,1398,246,0
