,29,29
淮扬快餐,6,27283
海派食府,6,14829
中式点心,5,18027
一餐教工餐厅,10,10861
吉祥小厨,8,16314
顺日北小吃,3,18339
高知餐厅,8,2966
川菜,8,11859
供应点1,15,59
闵行一餐临时,10,29
松叶蔬菜,0,8
一餐清真,6,11048
一餐教工定额卡,6,1
哈乐之家,8,32446
上海快餐,6,59552
西北面点,6,19211
江南小吃,2,16644
川味点心,2,24697
大众餐厅,6,48368
新疆餐厅,10,10310
二大楼教工餐厅,10,20013
绿园餐厅,15,34899
西式快餐,16,10494
上海快餐定额卡,4,1
闵行第三餐饮外婆桥,10,43668
闵行第三餐饮清真餐厅,7,13976
闵行第三餐饮学生餐厅,8,64127
东餐厅,7,29494
西餐厅,7,2354
面点,1,6252
炖品,2,24550
苏记麻辣烫,8,2195
吉姆丽德,3,112
教工餐厅,7,18483
串串烧,10,6431
麻辣烫,7,5497
笼仔饭,9,3507
粉面饭,10,2286
烧腊饭,9,11976
甜点,11,3594
点心,9,22395
炒面,9,4834
土豆粉,8,3108
烤肉,10,13618
粥档,8,25641
风味煲仔饭,10,12920
后发定额卡（第四餐饮）,6,19
一楼快餐厅,7,11271
二楼快餐厅,7,19021
二楼面馆,13,12656
中西餐厅,24,291
六餐东一楼餐厅,7,20203
六餐面馆,8,7564
甜魔咖啡,12,2039
闵行三餐时光咖啡,16,391
六餐伊诺咖啡,19,103
达通一餐蔬菜店,3,209
达通一餐水果店,10,984
浓清水果店（哈乐餐厅）,6,862
面包房1,4,83
梦园面包房2,4,12886
教育超市,4,19449
北区教育超市,3,20563
百味林,3,617
达通闵行四餐水果吧,10,2829
闵行四餐面包房,6,270
第五餐饮教育超市,5,4663
闵行教育超市,3,21719
教育超市,3,4583
闵行西区浴室,0,71222
闵行北区浴室,0,33512
闵行东区浴室,0,63817
六期水控,0,77070
