1-151,alpha,sigma,,semaster customer_,,,ratio
1000001,1.76593,0.109419,,18009,,253047,14.0511411
1000002,1.653529,0.119318,,9676,,57421,5.934373708
1000003,1.879218,0.153052,,16658,,227087,13.6323088
1000005,1.774406,0.182529,,9636,,66452,6.896222499
1000010,1.413629,0.05016,,17206,,136864,7.9544345
1000011,2.027067,0.209649,,17127,,197364,11.52355929
1000014,1.403796,0.064659,,1500,,5700,3.8
1000015,1.595616,0.08688,,8279,,65435,7.903732335
1000125,1.461299,0.266331,,183,,211,1.153005464
1000219,1.661476,0.065177,,2726,,46128,16.9214967
1000019,2.134036,0.218245,,10459,,192529,18.40797399
1000027,2.491032,0.372758,,20091,,400024,19.91060674
1000029,1.469423,0.05571,,20349,,231647,11.38370436
1000030,2.133944,0.236444,,18417,,266313,14.46017267
1000031,1.997816,0.168662,,20860,,384565,18.43552253
1000038,1.936632,0.173928,,14008,,205268,14.6536265
1000039,1.709805,0.148005,,9373,,51152,5.457377574
1000040,1.771342,0.138537,,12633,,114090,9.031109
1000041,2.082187,0.197579,,16416,,286797,17.47057749
1000215,1.300969,0.033649,,14132,,81613,5.775049533
1000231,1.849966,0.139734,,18320,,262647,14.33662664
1000232,1.571943,0.073838,,6507,,53803,8.268480098
1000233,2.045218,0.138443,,17536,,626013,35.69873403
1000055,1.648605,0.072067,,11791,,154955,13.14180307
1000056,1.413855,0.056847,,2954,,10439,3.533852404
1000057,1.928127,0.119821,,10614,,190045,17.90512531
1000060,1.51458,0.075059,,9322,,57163,6.132053207
1000108,1.348276,0.069655,,2107,,4877,2.314665401
1000157,1.343902,0.091912,,1537,,2397,1.559531555
1000159,1.899244,0.17306,,8911,,100446,11.27213556
1000181,1.317474,0.049581,,6262,,19531,3.118971575
1000182,1.364213,0.043532,,6621,,28495,4.303730554
1000183,1.577523,0.160176,,4478,,9983,2.229343457
1000184,1.31835,0.050336,,4597,,15972,3.474439852
1000185,1.314042,0.049045,,8119,,24111,2.969700702
1000186,1.411162,0.08766,,4235,,8552,2.019362456
1000187,1.300486,0.038473,,10170,,45644,4.488102262
1000210,1.43046,0.076095,,5404,,18196,3.367135455
1000211,1.53974,0.110174,,5239,,21725,4.146783737
1000212,1.341175,0.039661,,8586,,41741,4.861518751
1000213,1.870848,0.181584,,8555,,63416,7.412741087
1000216,1.686898,0.171725,,8271,,34350,4.153064926
1000220,1.828851,0.478537,,62,,78,1.258064516
1000061,1.725118,0.132388,,6856,,50899,7.424008168
1000062,1.894343,0.149057,,9173,,107535,11.72299139
1000103,1.464609,0.06926,,9540,,54457,5.708280922
1000132,1.389506,0.087096,,1629,,2959,1.816451811
1000178,2.096007,0.19079,,5394,,86020,15.94734891
1000179,1.522495,0.072457,,3437,,24292,7.067791679
1000176,1.334328,0.044283,,5997,,26839,4.475404369
1000244,1.632521,0.21084,,1864,,3611,1.93723176
1000180,1.3379,0.106853,,565,,898,1.589380531
1000241,1.759143,0.309919,,450,,730,1.622222222
1000242,1.312225,0.054351,,4153,,13205,3.179629184
1000175,1.517217,0.087426,,1864,,11427,6.130364807
1000006,1.410711,0.167672,,229,,274,1.19650655
1000007,1.318764,0.034575,,11717,,67448,5.756422292
1000037,1.931444,0.1511,,11947,,205908,17.23512179
1000047,1.936235,0.131099,,13784,,221333,16.05724028
1000136,1.344589,0.073467,,1790,,4045,2.259776536
1000239,1.321577,0.04848,,4960,,18819,3.794153226
1000246,1.545412,0.222663,,469,,681,1.452025586
1000105,1.375629,0.044579,,4817,,24293,5.043180403
1000016,1.781252,0.107313,,16410,,213804,13.02888483
1000143,2.021976,0.154069,,3212,,59950,18.66438356
1000091,2.081887,0.194313,,8428,,335006,39.74916944
1000092,3.073345,0.263315,,5045,,188609,37.38533201
1000093,2.363195,0.157408,,8267,,329568,39.86548929
1000095,2.564312,0.169673,,11258,,668214,59.35459229
